                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6749,                 2.9211,                 1.5107,                0.23376,                 0.3376,                0.22711,                0.12899,                  1.454,                 2.9146,                  1.267,              0.0002125,              0.0002125,              0.0002125
                      2,                 1.4278,                 1.8085,                 1.2877,                0.41767,                0.37415,                0.34879,                0.19513,                 1.2727,                 2.8053,                 1.2477,             0.00043028,             0.00043028,             0.00043028
                      3,                 1.4166,                 1.8093,                 1.2677,                0.39828,                0.42836,                0.36997,                 0.2075,                 1.3455,                 2.4522,                 1.2659,             0.00064064,             0.00064064,             0.00064064
                      4,                 1.4183,                 1.5988,                 1.2487,                0.21483,                0.58013,                0.28216,                0.15441,                  1.408,                 2.9785,                  1.333,             0.00084357,             0.00084357,             0.00084357
                      5,                 1.4243,                  1.659,                 1.3015,                0.24225,                0.47327,                0.27038,                0.14001,                 1.4201,                 2.1898,                 1.3608,              0.0010391,              0.0010391,              0.0010391
                      6,                 1.4004,                 1.6537,                 1.3042,                0.24259,                0.61563,                0.35301,                0.19284,                 1.4621,                 2.1553,                 1.2952,              0.0011469,              0.0011469,              0.0011469
                      7,                 1.3777,                 1.5508,                 1.2641,                0.30627,                0.61915,                0.32139,                0.17357,                 1.4454,                 2.5757,                 1.3459,              0.0011469,              0.0011469,              0.0011469
                      8,                 1.3573,                 1.5101,                 1.2637,                0.33623,                0.43261,                0.32171,                0.18229,                 1.3515,                 2.5138,                  1.373,              0.0011263,              0.0011263,              0.0011263
                      9,                 1.3574,                 1.4359,                 1.2889,                0.43313,                 0.3991,                0.35727,                0.20146,                  1.372,                 1.8213,                 1.3972,              0.0011056,              0.0011056,              0.0011056
                     10,                 1.3435,                 1.4517,                 1.2763,                0.35602,                 0.5508,                0.40928,                0.23028,                 1.3563,                 2.0004,                 1.4063,               0.001085,               0.001085,               0.001085
                     11,                 1.3684,                 1.4164,                 1.2993,                0.40373,                0.54063,                  0.453,                0.26309,                 1.3397,                 1.7623,                 1.3812,              0.0010644,              0.0010644,              0.0010644
                     12,                 1.3226,                  1.418,                 1.2816,                 0.4062,                 0.5629,                0.44604,                0.25786,                 1.2556,                 1.8156,                 1.3265,              0.0010438,              0.0010438,              0.0010438
                     13,                 1.3005,                 1.3485,                 1.2527,                 0.3688,                0.46103,                0.40457,                0.23711,                   1.34,                 1.5058,                 1.3528,              0.0010231,              0.0010231,              0.0010231
                     14,                 1.3013,                 1.3567,                 1.2675,                0.45896,                 0.4732,                0.43432,                0.25894,                 1.2992,                  1.519,                 1.3525,              0.0010025,              0.0010025,              0.0010025
                     15,                 1.2854,                 1.3301,                 1.2618,                0.48374,                0.55396,                0.51708,                0.31206,                 1.2756,                 1.4775,                 1.3258,             0.00098187,             0.00098187,             0.00098187
                     16,                 1.2963,                 1.3828,                  1.245,                0.53787,                0.61506,                0.57273,                0.35053,                 1.3026,                 1.3324,                 1.2842,             0.00096125,             0.00096125,             0.00096125
                     17,                  1.283,                 1.2697,                   1.24,                0.47693,                0.55549,                 0.5169,                0.30956,                 1.3811,                 1.3742,                  1.333,             0.00094062,             0.00094062,             0.00094062
                     18,                 1.2548,                 1.1743,                 1.2155,                0.59306,                 0.5097,                0.54292,                0.33694,                 1.2868,                 1.3831,                 1.3032,                0.00092,                0.00092,                0.00092
                     19,                 1.2211,                 1.2018,                 1.2024,                0.46115,                0.55614,                0.49131,                0.30702,                 1.3884,                 1.5436,                 1.3631,             0.00089938,             0.00089938,             0.00089938
                     20,                 1.2764,                 1.2148,                 1.2543,                0.50631,                0.60572,                0.50732,                0.31499,                 1.3197,                 1.3613,                  1.315,             0.00087875,             0.00087875,             0.00087875
                     21,                 1.2628,                 1.2225,                 1.2212,                0.47268,                0.50669,                0.48328,                0.29937,                 1.2856,                 1.5519,                 1.2854,             0.00085813,             0.00085813,             0.00085813
                     22,                 1.2252,                 1.1787,                 1.2084,                 0.5401,                 0.6243,                 0.5935,                0.38463,                 1.2458,                 1.3008,                 1.2823,              0.0008375,              0.0008375,              0.0008375
